sku,kind,name,price_usd,price_cents,source_file,description_preview
ACQ-012,sku,STR vs LTR Yield Comparison,27,2700,copy/etsy-listings/ACQ-012-str-vs-ltr-yield-comparison.md,Run the math when your city threatens an STR ban. STR vs LTR yield comparison for property owners deciding between Airbnb model + 12-month-lease model. All-in y
FIN-002,sku,Break-even Occupancy Calculator,17,1700,copy/etsy-listings/FIN-002-break-even-occupancy.md,Run your rentals before they run you. Break-even occupancy calculator for Airbnb and STR hosts. Returns the one number that matters and stress-tests it against 
FIN-003,sku,12-Month Cash Flow Forecaster,47,4700,copy/etsy-listings/FIN-003-12-month-cash-flow-forecaster.md,"See the months that go negative — before they happen. 12-month rolling cash flow forecaster for Airbnb / STR portfolios. Solves the ""ran out of cash in February"
FIN-004,sku,DSCR Tracker,27,2700,copy/etsy-listings/FIN-004-dscr-tracker.md,Which properties qualify for refinance. Which need rate-shopping. DSCR (Debt Service Coverage Ratio) tracker for Airbnb / STR portfolios. Per-property + portfol
FIN-005,sku,Year-Over-Year P&L Comparison,27,2700,copy/etsy-listings/FIN-005-yoy-comparison-workbook.md,Did 2026 actually go better than 2025 — or did it just feel that way? Year-over-year P&L comparison spreadsheet for Airbnb / STR hosts. Top-3 favorable + top-3 
FIN-006,sku,Multi-Entity Consolidated P&L,47,4700,copy/etsy-listings/FIN-006-multi-entity-consolidated-pl.md,5 LLCs. 5 P&Ls. One holding-company view. Multi-entity consolidated P&L for STR investors holding each property in its own LLC. Aggregates per-LLC income statem
FIN-007,sku,Partnership Distribution Tracker,47,4700,copy/etsy-listings/FIN-007-partnership-distribution-tracker.md,"K-1-ready capital accounts. Per-partner allocations done right. Partnership distribution tracker for STR LLCs taxed as partnerships. Capital contributions, P&L "
GST-001,sku,Airbnb Welcome Book Template,17,1700,copy/etsy-listings/GST-001-welcome-book.md,Business-grade Airbnb welcome book template for VRBO and short-term rental hosts. Editable Excel + PDF with 9 pre-formatted sections. Instant download.
GST-002,sku,House Rules Builder,17,1700,copy/etsy-listings/GST-002-house-rules-builder.md,"25-40 specific, defensible rules. No more blank textarea on Airbnb. House rules builder wizard for Airbnb / STR hosts — 6-section walkthrough → printable + list"
GST-003,sku,Pet Policy Document Builder,17,1700,copy/etsy-listings/GST-003-pet-policy-document.md,"Print-ready pet policy. Fees, breeds, damage rules — covered. Pet policy document builder for pet-friendly Airbnb / STR hosts. 4-section wizard → one-page print"
LGL-001,sku,STR License Renewal Calendar,17,1700,copy/etsy-listings/LGL-001-str-license-renewal-calendar.md,"Every renewal date, ahead of you. Not behind. STR license + permit renewal calendar for Airbnb / VRBO hosts. Don't lose your listing because a permit lapsed. Ex"
LGL-002,sku,TOT Filing Calendar,27,2700,copy/etsy-listings/LGL-002-tot-filing-calendar.md,Per-jurisdiction lodging tax. What Airbnb remits — and what's still on you. TOT (Transient Occupancy Tax) filing calendar for Airbnb / VRBO hosts. Per-property 
LGL-003,sku,Guest Screening Log + Ban List,17,1700,copy/etsy-listings/LGL-003-guest-screening-log.md,Banned at property A. Can't book property B. Portfolio-wide. Guest screening log + ban list for Airbnb / VRBO hosts. Per-booking checklist + cross-property ban-
LGL-004,sku,Insurance Claim Log,17,1700,copy/etsy-listings/LGL-004-insurance-claim-log.md,FNOL through settlement. Recovery $ vs deductible. Lessons learned. Insurance claim log for Airbnb / STR hosts tracking claims against your underlying property 
MKT-001,sku,Listing SEO Audit,47,4700,copy/etsy-listings/MKT-001-listing-seo-audit.md,"Run your rentals before they run you. Listing SEO audit for Airbnb and STR hosts. Scores your listing across 25 weighted criteria, gives you a specific fix for "
MKT-002,sku,Review Response Tracker,17,1700,copy/etsy-listings/MKT-002-review-response-tracker.md,"Every review logged. 8 reply templates. 15 min → 3 min. Review response tracker for Airbnb / VRBO hosts. Cuts response time, prevents the ""I forgot to reply to "
MKT-003,sku,Referral + Repeat Guest CRM,27,2700,copy/etsy-listings/MKT-003-referral-source-repeat-guest-crm.md,"Identify your top-15 LTV guests. Skip the channel fees. Referral + repeat-guest CRM for Airbnb / VRBO hosts. Track sources, identify your best guests, push dire"
OPS-001,sku,Cleaner Turnover Checklist + Scorecard,17,1700,copy/etsy-listings/OPS-001-turnover-checklist.md,Turnover chaos has a spreadsheet. Printable cleaner turnover checklist + rolling scorecard for Airbnb and STR hosts. 40 items across 8 zones. Excel + PDF.
OPS-003,sku,License/Permit/STR-Reg Tracker,47,4700,copy/etsy-listings/OPS-003-license-permit-tracker.md,"Turnover chaos has a spreadsheet. Permit and license tracker for multi-city Airbnb hosts. Auto-flags expired permits, days-to-renewal countdown, top-15-city per"
OPS-004,sku,Cleaning Cost per Turnover Tracker,17,1700,copy/etsy-listings/OPS-004-cleaning-cost-per-turnover.md,Know the true cost per turn. Price the cleaning fee right. Per-turnover cleaning cost log for Airbnb / STR hosts with cleaner performance tracking and $ per nig
OPS-005,sku,Supply Inventory + Par-Level Restock Calculator,17,1700,copy/etsy-listings/OPS-005-supply-inventory-par-level.md,Never run out of TP between guests. Per-property consumables tracker with par-level auto-restock for Airbnb / STR hosts. Eliminates the 10pm cleaner emergency. 
OPS-006,sku,Maintenance Log + Vendor CRM,27,2700,copy/etsy-listings/OPS-006-maintenance-log-vendor-crm.md,"Every repair, every vendor — one tab away from the next emergency. Maintenance log + vendor CRM for Airbnb / STR hosts. Single source of truth for repairs, recu"
OPS-007,sku,Utility Usage + Trend Tracker,17,1700,copy/etsy-listings/OPS-007-utility-usage-tracker.md,"Catch leaks, unmonitored loads, pricing changes — before next month's bill. Utility usage + trend tracker for Airbnb / STR hosts. Per-property × per-utility 12-"
OPS-008,sku,Insurance Policy Tracker,17,1700,copy/etsy-listings/OPS-008-insurance-policy-tracker.md,"Every policy. Every renewal date. Every uninsured-exposure gap. Insurance policy tracker for Airbnb / STR hosts — STR dwelling, umbrella, vehicle, business, Air"
PAM-002,sku,Cleaner CRM + Payroll,47,4700,copy/etsy-listings/PAM-002-cleaner-crm-payroll.md,"Cleaner roster, turnover assignments, payroll, year-end 1099-NEC. Cleaner CRM + payroll for STR property managers and co-hosts running 10+ properties. Excel + G"
PAM-003,sku,Commission / Split Calculator for Co-Hosts,47,4700,copy/etsy-listings/PAM-003-commission-split-calculator.md,Co-host commission math. Per-booking + per-month + year-end 1099-NEC. Commission/split calculator for Airbnb / VRBO co-hosts and property managers handling some
PAM-004,sku,Multi-Owner Consolidated Reporting,97,9700,copy/etsy-listings/PAM-004-multi-owner-consolidated-reporting.md,Which owner relationships are worth keeping. Which to fire. Multi-owner consolidated reporting for STR property managers running 10+ properties across multiple 
REV-001,sku,Cleaning Fee Optimizer,37,3700,copy/etsy-listings/REV-001-cleaning-fee-optimizer.md,Run your rentals before they run you. Cleaning fee optimizer for Airbnb and STR hosts. Compares 3 fee strategies side-by-side and tells you which one nets the m
REV-002,sku,Dynamic Pricing Calculator,27,2700,copy/etsy-listings/REV-002-dynamic-pricing-calculator.md,365-day suggested rate per night: season + day + event. Pricing-tool sanity check — or full alternative if you don't want to pay $20-50/mo. Dynamic pricing calc
REV-003,sku,Competitor Rate Tracker,27,2700,copy/etsy-listings/REV-003-competitor-rate-tracker.md,Weekly comp-set snapshots. Know when to raise rates first. Competitor rate tracker for Airbnb / STR hosts — manual snapshots of 6-10 comps × next 4 weekends. Su
REV-004,sku,Minimum-Night-Stay Optimizer,27,2700,copy/etsy-listings/REV-004-min-night-stay-optimizer.md,"2 vs 3 vs 7 nights, side-by-side. Net revenue, not gross. Minimum-night-stay (MNS) optimizer for Airbnb / STR hosts. Surfaces the truth most hosts miss: 1-night"
REV-005,sku,Holiday + Event Pricing Calendar,17,1700,copy/etsy-listings/REV-005-holiday-event-pricing-calendar.md,Federal + school + local events. Don't undersell July 4 again. Holiday + event pricing calendar for Airbnb / STR hosts. Per-event lift % applied to your base ra
REV-006,sku,Pricing Tool ROI Comparison,27,2700,copy/etsy-listings/REV-006-pricing-tool-roi-comparison.md,"Did PriceLabs / Wheelhouse / Beyond actually earn their monthly fee? A/B test framework for paid pricing tools. Run the tool 60 days, run without it 60 days, wo"
SPC-001,sku,Glamping / Unique-Stay P&L,47,4700,copy/etsy-listings/SPC-001-glamping-unique-stay-pl.md,"Yurts, A-frames, domes, treehouses. Off-grid economics tracked properly. Glamping / unique-stay P&L for operators of yurts, tiny homes, A-frames, treehouses, ca"
SPC-002,sku,Corporate Housing / Travel-Nurse Tracker,27,2700,copy/etsy-listings/SPC-002-corporate-housing-travel-nurse-tracker.md,"30+ day stays. MTR pipeline, monthly recurring revenue, occupancy gaps. Mid-term rental (MTR) tracker for hosts on Furnished Finder, Blueground, AnyPlace, or di"
STR-001,sku,Escape the W2 Planner,47,4700,copy/etsy-listings/STR-001-escape-the-w2-planner.md,Run your rentals before they run you. A career-transition planner for STR hosts asking the real question: when can I quit? Calculates your quit date — optimisti
STR-002,sku,Portfolio Valuation Model,47,4700,copy/etsy-listings/STR-002-portfolio-valuation-model.md,"Three valuation methods. Total equity. What a buyer would actually pay. Portfolio valuation model for Airbnb / STR investors. Cap rate × NOI, comparable sales, "
STR-003,sku,Refi-or-Sell Decision Matrix,47,4700,copy/etsy-listings/STR-003-refi-or-sell-decision-matrix.md,"Hold + refi vs sell vs 1031. 5-year wealth outcome per path. Refi-or-sell decision matrix for Airbnb / STR investors. Tax consequences, transaction costs, and 5"
TAX-001,sku,STR Mileage Log,17,1700,copy/etsy-listings/TAX-001-mileage-log.md,Close your year before April does. IRS-compliant mileage log for Airbnb and STR hosts. Auto-calculates deduction at 2026 IRS rate ($0.70/mi). Editable Excel.
TAX-002,sku,Single-Property P&L Tracker,47,4700,copy/etsy-listings/TAX-002-pl-single-property.md,"Close your year before April does. Schedule E P&L for Airbnb and STR hosts — IRS line-mapped categories, built-in 27.5-yr depreciation calculator, CPA-ready Exc"
TAX-003,sku,1099-NEC Contractor Tracker,17,1700,copy/etsy-listings/TAX-003-1099-nec-tracker.md,Close your year before April does. 1099-NEC tracker for Airbnb and STR hosts. Auto-flags the $600 IRS threshold per contractor. Editable Excel.
TAX-004,sku,Schedule E Tax-Prep Workbook,97,9700,copy/etsy-listings/TAX-004-schedule-e-tax-prep.md,"Hand your CPA a finished Schedule E. Year-end tax-prep workbook for Airbnb and STR hosts — every Schedule E line pre-mapped, depreciation included, audit-defens"
TAX-005,sku,Quarterly Estimated Tax Calculator,27,2700,copy/etsy-listings/TAX-005-quarterly-estimated-tax.md,"Stop guessing what you owe in April, June, September, January. Quarterly estimated tax calculator for Airbnb and STR hosts. Avoid the IRS underpayment penalty. "
TAX-006,sku,Home Office Deduction Allocator,27,2700,copy/etsy-listings/TAX-006-home-office-allocator.md,"Make your home office pay you back. Home office deduction calculator for Airbnb and STR hosts. Simplified $5/sqft vs actual method, side-by-side. Pub 587. Edita"
TAX-007,sku,Per-Diem Meal Deduction Tracker,17,1700,copy/etsy-listings/TAX-007-per-diem-meal-tracker.md,Track meals deductibly. Don't lose another receipt. Per-diem meal deduction tracker for Airbnb and STR hosts. 50% deductible business meals + per-diem option. E
TAX-008,sku,Self-Employment Tax Calculator,27,2700,copy/etsy-listings/TAX-008-self-employment-tax.md,"Compute your SE tax. Pay less by knowing the rules. Self-employment tax calculator for Airbnb and STR hosts on Schedule C. Schedule SE-ready, deduction-half bui"
TAX-009,sku,Section 179 Planner,27,2700,copy/etsy-listings/TAX-009-section-179-planner.md,"Front-load this year's depreciation. Legally. Section 179 planner for Airbnb and STR hosts. Deduct furniture, appliances, business vehicles in year-1 instead of"
TAX-010,sku,Cost Segregation DIY Workbook,47,4700,copy/etsy-listings/TAX-010-cost-segregation-diy.md,Pull 5 years of depreciation into one. The IRS-acceptable DIY cost-segregation method for Airbnb and STR hosts. Reclassify components to 5/7/15-year MACRS. Bonu
TAX-012,sku,Schedule C Tax Prep Workbook (Active STR),47,4700,copy/etsy-listings/TAX-012-schedule-c-tax-prep.md,"For Airbnb and STR hosts who file Schedule C — substantial services, material participation, or active trade-or-business. Year-end Schedule C tax-prep workbook "
TAX-013,sku,Depreciation Tracker (Full MACRS),47,4700,copy/etsy-listings/TAX-013-depreciation-tracker.md,"Every depreciable asset, accounted for. Full MACRS depreciation tracker for Airbnb and STR hosts — 5/7/15/27.5/39-year recovery schedules, year-1 through year-N"
BUNDLE-01,bundle,First-Year Host Bundle,97,9700,copy/etsy-listings/bundles/BUNDLE-01-first-year-host.md,"Underwrite the deal, budget the launch, get the permit, know your floor — before guest #1 checks in. 4-template bundle for first-time Airbnb / STR hosts. $138 à"
BUNDLE-02,bundle,Aspiring Host Bundle,97,9700,copy/etsy-listings/bundles/BUNDLE-02-aspiring-host.md,"Run the timeline. Run the deal. Run the budget. Run the no-money-down option. Decide with math, not vibes. 4-template bundle for aspiring Airbnb / STR investors"
BUNDLE-03,bundle,Year-2 Operator Bundle,147,14700,copy/etsy-listings/bundles/BUNDLE-03-year-2-operator.md,"Stop guessing at occupancy, fees, and listing optimization. The 4 workbooks that move the lines an experienced host actually controls. $188 à la carte → $147 bu"
BUNDLE-04,bundle,Portfolio Bundle,397,39700,templates/_delivery/_bundles/bundles_config.py,Fourteen workbooks. The full operating system for a multi-property STR portfolio.
BUNDLE-05,bundle,Pro Manager Bundle,497,49700,templates/_delivery/_bundles/bundles_config.py,Seven workbooks. The owner-facing reporting layer plus the operating math underneath.
